"","id_str","text","created_at","retweet_count","in_reply_to_user_id_str","favorite_count","is_retweet","device"
"29","681693955700948996","Remember that Bill Clinton was brought in to help Hillary against Obama in 2008. He was terrible, failed badly, and was called a racist!",2015-12-28 23:31:18,2400,NA,5793,FALSE,"Android"
"30","681678252029665281","Thank you- Nashua, New Hampshire! #MakeAmericaGreatAgain #Trump2016 
#NHPolitics #FITN https://t.co/QPj5gb3wib https://t.co/I1lMmcYk3l",2015-12-28 22:28:54,1004,NA,3004,FALSE,"iPhone"
"31","681608453501014016","Thank you! #Trump2016 
https://t.co/dTL7uybyeH https://t.co/yhQUQiuswl",2015-12-28 17:51:33,1571,NA,4737,FALSE,"iPhone"
"32","681606884290265088","Thank you to a #Trump2016 supporter for this video of my campaign- over the past 6 months. Video: https://t.co/yawywElMwa",2015-12-28 17:45:19,1473,NA,3912,FALSE,"iPhone"
"34","681457163492024321","Wages in are country are too low, good jobs are too few,  and people have lost faith in our leaders.We need smart and strong leadership now!",2015-12-28 07:50:23,3635,NA,9838,FALSE,"Android"
"36","681452215614222339","The middle-class has worked so hard, are not getting the kind of jobs that they have long dreamed of - and no  effective raise in years. BAD",2015-12-28 07:30:43,3180,NA,9155,FALSE,"Android"
"39","681157406605324288","Straighten out The Republican Party of Virginia before it is too late. Stupid!  RNC",2015-12-27 11:59:15,2233,NA,5562,FALSE,"Android"
"41","681148934685855744","The voters the Republican Party of Virginia are excluding will doom any chance of victory. The Dems LOVE IT! Be smart and win for a change!",2015-12-27 11:25:35,1734,NA,4349,FALSE,"Android"
"42","681147489534119936","R.P.Virginia has lost statewide 7 times in a row. Will now not allow desperately needed new voters. Suicidal mistake. RNC MUST ACT NOW!",2015-12-27 11:19:51,1704,NA,3979,FALSE,"Android"
"43","681143660705099776","It begins, Republican Party of Virginia, controlled by the RNC, is working hard to disallow independent, unaffiliated and new voters. BAD!",2015-12-27 11:04:38,2729,NA,5439,FALSE,"Android"
"44","680947538896252928","I will do far more for women than Hillary, and I will keep our country safe, something which she will not be able to do-no strength/stamina!",2015-12-26 22:05:19,4101,NA,11075,FALSE,"Android"
"46","680908733455708160","Hillary Clinton has announced that she is letting her husband out to campaign but HE'S DEMONSTRATED A PENCHANT FOR SEXISM, so inappropriate!",2015-12-26 19:31:07,4520,NA,10585,FALSE,"Android"
"47","680877571542790144","A new terror warning was issued for European cties. At what point do we say we have had enough and get really tough and smart. Weak leaders!",2015-12-26 17:27:17,4838,NA,10845,FALSE,"Android"
"48","680807045562515456","#MakeAmericaGreatAgain #Trump2016 
Story: https://t.co/PBOKbGIaVB https://t.co/wm9Y7E9RzB",2015-12-26 12:47:03,1537,NA,4348,FALSE,"iPhone"
"50","680734915718176768","The Phoenix V.A., it has just been reported, is in worse shape than ever before. The wait is horrendous, and people are dying. I will fix it",2015-12-26 08:00:26,2870,NA,8025,FALSE,"Android"
"52","680503951440121856",".@chucktodd is so dishonest in his reporting...and to think he was going off the air until I came along-no ratings. I will beat Hillary!",2015-12-25 16:42:39,1695,NA,6108,FALSE,"Android"
"54","680489467245936641","When will the Democrats, and Hillary in particular, say ""we must build a wall, a great wall, and Mexico is going to pay for it?"" Never!",2015-12-25 15:45:06,2042,NA,5823,FALSE,"Android"
"55","680486088255909888","Our great VETERANS are being treated very badly because of corruption and incompetence at the V.A. That will stop, I will fix this quickly!",2015-12-25 15:31:40,3438,NA,9374,FALSE,"Android"
"56","680484330494386176","Remember when failed candidate @JebBush said that illegals came across the border as AN ACT OF LOVE? He's spent $59 million and is at 3%.",2015-12-25 15:24:41,2169,NA,6552,FALSE,"Android"
"58","680480963068051456","Does everyone see that the Democrats and President Obama are now, because of me, starting to deport people who are here illegally. Politics!",2015-12-25 15:11:18,3053,NA,8560,FALSE,"Android"
"61","680212039487340544",".@danielhalper  Great job on @CNN today. Very wise indeed!",2015-12-24 21:22:42,683,NA,2824,FALSE,"Android"
"63","680168300630937600","I am now in Palm Beach, Florida, and will be going to church tonight. MAKE AMERICA GREAT AGAIN!",2015-12-24 18:28:54,2910,NA,10005,FALSE,"Android"
"66","680156538598756352","Wow, because of the pressure put on by me, ICE TO LAUNCH LARGE SCALE DEPORTATION RAIDS. It's about time!",2015-12-24 17:42:10,2748,NA,7100,FALSE,"Android"
"67","680154897518608389","Next year will be an interesting one. I look forward to running against Hillary Clinton, a totally flawed candidate, and beating her soundly",2015-12-24 17:35:38,9779,NA,19618,FALSE,"Android"
"68","680153902952615936","Third rate reporters Amy Chozick and Maggie Haberman of the failing @nytimes are totally in the Hillary circle of bias. Think about Bill!",2015-12-24 17:31:41,1230,NA,3801,FALSE,"Android"
"70","680149494214823937","In the ridiculous @JebBush ad about me, Jeb is speaking to me during the debate, but doesn't allow my answer, which destroys him - SO SAD!",2015-12-24 17:14:10,1251,NA,4910,FALSE,"Android"
"73","679864821823713284","Hillary said ""I really deplore the tone and inflammatory rhetoric of his campaign."" I deplore the death and destruction she caused-stupidity",2015-12-23 22:22:59,5940,NA,13417,FALSE,"Android"
"74","679843301890109440","Merry Christmas &amp; Happy Holidays!
#MakeAmericaGreatAgain #Trump2016
https://t.co/XIVw5LdTqv https://t.co/Sqim2YyoCH",2015-12-23 20:57:28,5340,NA,12438,FALSE,"iPhone"
"75","679802957089648640","Hillary, when you complain about ""a penchant for sexism,"" who are you referring to. I have great respect for women. BE CAREFUL!",2015-12-23 18:17:09,4887,NA,11344,FALSE,"Android"
"76","679713305376780289","It is hard to believe I am winning by so much when I am treated so badly by the media.  New @CNN Poll amazing in ALL categories. 21 pt. Lead",2015-12-23 12:20:55,3948,NA,10895,FALSE,"Android"
"77","679691783467610113","Why does @FoxNews give @KarlRove so much airtime. He (and other Fox pundits) is so biased. Still thinks Romney won. Unfair coverage of Trump",2015-12-23 10:55:23,1602,NA,5139,FALSE,"Android"
"79","679676684501692416","The @washingtonpost, which is the lobbyist (power) for not imposing taxes on #Amazon, today did a nasty cartoon attacking @tedcruz kids. Bad",2015-12-23 09:55:24,2229,NA,5748,FALSE,"Android"
"82","679643556479406080","#MakeAmericaGreatAgain #Trump2016 https://t.co/e9dEs4HuwQ",2015-12-23 07:43:45,2676,NA,6204,FALSE,"iPhone"
"83","679643221526462465","Thank you America! Together- we will #MakeAmericaGreatAgain! https://t.co/MWMFn4asWH",2015-12-23 07:42:25,2795,NA,6139,FALSE,"iPhone"
"84","679633151237439488","Big news just out - NEW @CNN POLL  TRUMP  39 and leads in every major category. Likeability way up. CRUZ 18  CARSON 10  RUBIO 10",2015-12-23 07:02:24,1850,NA,4890,FALSE,"Android"
"88","679499246941396993","#MakeAmericaGreatAgain #Trump2016 https://t.co/TUDwrg6RsD",2015-12-22 22:10:19,1917,NA,4679,FALSE,"iPhone"
"89","679496538117271552","Wow, new Reuters Poll just out. Big lead if you want to MAKE AMERICA GREAT AGAIN!  TRUMP 37  CRUZ 11 This is at the top of Drudge!",2015-12-22 21:59:33,2116,NA,5482,FALSE,"Android"
"91","679463530190499840","NPR's @NealConan said ""schlonged"" to WaPo re: 1984 Mondale/Ferraro campaign: ""That ticket went on to get schlonged at the polls."" #Hypocrisy",2015-12-22 19:48:24,1774,NA,3714,FALSE,"iPhone"
"92","679463426675097600","Once again, #MSM is dishonest. ""Schlonged"" is not vulgar. When I said Hillary got ""schlonged"" that meant beaten badly.",2015-12-22 19:47:59,4159,NA,7452,FALSE,"iPhone"
"93","679433831032705024","Jeb's big ad buy against me, paid for by lobbyists, shows my face but doesn't have me answering Jeb's statements. He is really pathetic!",2015-12-22 17:50:23,1718,NA,5471,FALSE,"Android"
"94","679431012120702976","Watching @CNN and consider @secupp to be one of the least talented people on television. Boring and biased!",2015-12-22 17:39:11,1016,NA,3286,FALSE,"Android"
"95","679424477550272512","Women defy media narrative, love Trump at packed Michigan rally.
VIDEO: https://t.co/yreUny7shA https://t.co/dE9odwIRQi",2015-12-22 17:13:13,4220,NA,8990,FALSE,"iPhone"
"96","679383917057605632","Video from Michigan last night. After asking for months, the media panned their cameras! https://t.co/jXwS0y08L7 https://t.co/ikjkpmOAeu",2015-12-22 14:32:02,1594,NA,4379,FALSE,"iPhone"
"97","679377380540985344","THANK YOU America! 
#MakeAmericaGreatAgain #Trump2016 https://t.co/x0QaqjjMj0",2015-12-22 14:06:04,1573,NA,3705,FALSE,"iPhone"
"98","679347469973635072","Thank you - Michigan!
#MakeAmericaGreatAgain #Trump2016 https://t.co/5GilNQKyzJ",2015-12-22 12:07:13,1063,NA,3284,FALSE,"iPhone"
"99","679314834060673024","Thank you - New Hampshire!
#MakeAmericaGreatAgain #Trump2016
https://t.co/VlGF418r2x https://t.co/zZleg3vnJN",2015-12-22 09:57:32,1552,NA,4083,FALSE,"iPhone"
"100","679126206797750272","THANK YOU Grand Rapids, Michigan! Time to end political correctness &amp; secure our homeland! https://t.co/cyRCfwxJg3 https://t.co/PPrriLTFgA",2015-12-21 21:27:59,2994,NA,7802,FALSE,"iPhone"
"101","679064247792443393","@HerschelWalker, thanks for your support- it is very much appreciated!",2015-12-21 17:21:47,805,"235839823",1973,FALSE,"iPhone"
"103","679011289914568704","Do you think that Hillary Clinton will apologize to me for the lie she told about ""the video"" of me being used by ISIS. There is no video.",2015-12-21 13:51:21,3158,NA,8461,FALSE,"Android"
"104","679002048734568448","Thanks @AndreaTantaros for all of your kind words and thoughts. Big progress is being made. Keep up the great work!",2015-12-21 13:14:38,1198,NA,3836,FALSE,"Android"
"106","678982347392438272","Phyllis Schlafly: Trump is 'last hope for America' https://t.co/jCxqfVCGB6 https://t.co/sk713ir5NQ",2015-12-21 11:56:21,2492,NA,5608,FALSE,"iPhone"
"107","678958283651182593","Getting ready to go to the great State of Michigan. Big crowd tonight. Make America Great Again!",2015-12-21 10:20:43,2261,NA,6998,FALSE,"Android"
"108","678921089565749248","Just out: TRUMP GOP DEBATE - 18,000,000. CLINTON DEMOCRAT DEBATE - 6,700,000. And they were on major network vs. cable!",2015-12-21 07:52:56,2643,NA,6847,FALSE,"Android"
"109","678916493862678528","Hillary said with respect to ISIS, ""we are finally where we need to be."" Do we want 4  more years of incompetent leadership?  MAGA!",2015-12-21 07:34:40,2964,NA,7128,FALSE,"Android"
"111","678904742198820864","Hillary said at debate ISIS is ""going to people showing videos in order to recruit more radical jihadistst."" She made up story-want apology!",2015-12-21 06:47:58,1739,NA,4820,FALSE,"Android"
"112","678903114250985472","Very sad what happened last night at the Miss Universe Pageant. I sold it 6 months ago for a record price. This would never have happened!",2015-12-21 06:41:30,4909,NA,9440,FALSE,"Android"
"113","678797631250911232",".@JebBush today said he didn't want to be the front-runner, he would rather be where he is now, 2%. That is the talk of a loser, can't win!",2015-12-20 23:42:21,3119,NA,8076,FALSE,"Android"
"114","678791376201523201","Great poll out of Illinois! Thank you!
#MakeAmericaGreatAgain #Trump2016 https://t.co/Fd48umfyCw",2015-12-20 23:17:30,1896,NA,4875,FALSE,"iPhone"
"116","678738010188464128","My friend, @AriEmanuel of @IMG, bought the Miss Universe pageants from me and they are on tonight on #Fox! Tune in!",2015-12-20 19:45:26,950,NA,2950,FALSE,"iPhone"
"117","678722591230701568","It was really strange when Hillary was missing from the podium last night. Not very presidential!",2015-12-20 18:44:10,2873,NA,7956,FALSE,"Android"
"118","678720849336250369","Hillary Clinton spokesperson admitted that their was no ISIS video of me. Therefore, Hillary LIED at the debate last night. SAD!",2015-12-20 18:37:15,5813,NA,11941,FALSE,"Android"
"119","678714784905326594",".@JebBush was terrible on Face The Nation today. Being at 2% and falling seems to have totally affected his confidence. A basket case!",2015-12-20 18:13:09,2013,NA,5550,FALSE,"Android"
"120","678686794507010048","We need a #POTUS with great strength &amp; stamina. Hillary does not have that.
#Trump2016 https://t.co/n2C6bAdYNa https://t.co/cUy3VaDAGo",2015-12-20 16:21:55,2743,NA,5742,FALSE,"iPhone"
"122","678420732343427072",".@GStephanopoulos stupidly believes that Hillary wants to run against me because she said so. She says that so people believe it - opposite!",2015-12-19 22:44:41,1685,NA,4276,FALSE,"Android"
"125","678341077364011008","Thank you Cedar Rapids, Iowa!
#MakeAmericaGreatAgain https://t.co/0llSs8U77Q https://t.co/dlpd0EkR45",2015-12-19 17:28:10,1649,NA,4188,FALSE,"iPhone"
"126","678295001391087616","President Obama spends so much time speaking of the so-called Carbon footprint, and yet he flies all the way to Hawaii on a massive old 747.",2015-12-19 14:25:05,6539,NA,14433,FALSE,"Android"
"129","677990258387116032","Thank you for all of your support! Most importantly - we need to get everyone out to VOTE! #VoteTrump2016 https://t.co/ezCsk3cWaJ",2015-12-18 18:14:08,3661,NA,9012,FALSE,"iPhone"
"130","677956272889704452","The last thing our country needs is another BUSH! Dumb as a rock!",2015-12-18 15:59:05,6192,NA,12511,FALSE,"Android"
"134","677702212215308288","#ISIS is making $400M/year on oil. I have been saying it for years. We need to bomb the oil! https://t.co/vObIAhilWs https://t.co/teKBaKdXzK",2015-12-17 23:09:33,4550,NA,9833,FALSE,"iPhone"
"135","677659012389801985","There is no question who will handle the threat of terrorism best as #POTUS. #Trump2016 https://t.co/frS7alctbB https://t.co/0P4qSnAltb",2015-12-17 20:17:53,3135,NA,6521,FALSE,"iPhone"
"136","677415767567171584","#MakeAmericaGreatAgain #Trump2016 https://t.co/uJu4zrzXL8",2015-12-17 04:11:19,2799,NA,6669,FALSE,"iPhone"
"137","677407183273873408","Thank you! #MakeAmericaGreatAgain https://t.co/xkki2M6ht1",2015-12-17 03:37:12,4743,NA,9788,FALSE,"iPhone"
"138","677340596500066304","Will be on @jimmykimmel in 20 minutes on @ABC. #Kimmel #Trump2016 #MakeAmericaGreatAgain",2015-12-16 23:12:37,979,NA,3624,FALSE,"iPhone"
"139","677339850752806912",".@GlennBeck got fired like a dog by #Fox. The Blaze is failing and he wanted to have me on his show. I said no - because he is irrelevant.",2015-12-16 23:09:39,2951,NA,7341,FALSE,"iPhone"
"141","677288086619820032","Will be on @jimmykimmel tonight at 11:35pmE on @ABC. #Kimmel #Trump2016 #MakeAmericaGreatAgain",2015-12-16 19:43:57,1261,NA,3483,FALSE,"iPhone"
"142","677206760021606400","Clear winner of the #GOPDebate. Thank you for your support! 
#MakeAmericaGreatAgain #Trump2016 https://t.co/dl6IuSHwtK",2015-12-16 14:20:48,3760,NA,8124,FALSE,"iPhone"
"144","677146400749056000","Jeb Bush had a tough night at the debate. Now he'll probably take some of his special interest money, he is their puppet, and buy ad's.",2015-12-16 10:20:57,2590,NA,7323,FALSE,"Android"
"145","677140683174649858","Thank you for the nice words @ktmcfarland. The debate was interesting, and fun. Keep up the great work!",2015-12-16 09:58:14,835,NA,2811,FALSE,"Android"
"147","677123407142510592","Bill O'Reilly calls Trump and  campaign brilliant. In first place by 27 points.",2015-12-16 08:49:35,2030,NA,5779,FALSE,"Android"
"153","676946298436755456","#GOPDebate #Trump2016
https://t.co/czHzN0QkQN",2015-12-15 21:05:49,1017,NA,3134,FALSE,"iPhone"
"154","676935091822706689","Departing for #GOPDebate. Let's #MakeAmericaGreatAgain! https://t.co/nMNilyuL2F https://t.co/Bwyu1U3rHU",2015-12-15 20:21:17,2140,NA,5481,FALSE,"iPhone"
"155","676902775536623616","Highly respected PUBLIC POLICY POLLING (PPP) just announced that I am number one in IOWA. Thank you!",2015-12-15 18:12:52,1696,NA,4852,FALSE,"Android"
"156","676880260667805696","New PPP poll just released in Iowa- up 6 points from last poll. Leading w/ 28%! Don't worry - media won't report it! https://t.co/yjWiLBGUpm",2015-12-15 16:43:24,1908,NA,4766,FALSE,"iPhone"
"159","676818721223000064",". #JoeTheismann was great as a political analyst on @FoxNews. He knows far more than football. Thanks for the nice words Joe!",2015-12-15 12:38:52,1018,NA,3237,FALSE,"Android"
"160","676814742313242624","I won every debate so far according to all debate polls including @DRUDGE_REPORT, @TIME @Slate and more. Too bad dopey @megynkelly lies!",2015-12-15 12:23:03,1503,NA,4210,FALSE,"Android"
"161","676812123322781696","Between Iraq war monger @krauthammer, dummy @KarlRove, deadpan @GeorgezWill, highly overrated @megynkelly, among others, @FoxNews not fair!",2015-12-15 12:12:39,1376,NA,3368,FALSE,"Android"
"162","676790691775643648","I am in Trump International Hotel, Las Vegas, getting ready and waiting for the debate tonight. Look forward -   hope I get treated fairly!",2015-12-15 10:47:29,1866,NA,6357,FALSE,"Android"
"164","676787403579756544",".@megynkelly is very bad at math. She was totally unable to figure out the difference between me and Cruz in the new Monmouth Poll 41to14.",2015-12-15 10:34:25,1440,NA,3925,FALSE,"Android"
"165","676786396036661248",".@megynkelly, the most overrated anchor at @FoxNews, worked hard to explain away the new Monmouth poll 41 to 14 or 27 pt lead. She said 15!",2015-12-15 10:30:25,1214,NA,3257,FALSE,"Android"
"166","676777302059974656","Why isn't anyone using the @CNN Iowa Poll with me having a big lead. They only want to use the one negative poll (2nd place).Dishonest press",2015-12-15 09:54:17,1665,NA,4786,FALSE,"Android"
"167","676775704743186433","Isn't it amazing that @CNN paid a fortune for an Iowa Poll, which shows me in first place over Cruz by 13%, 33% to 20% - then doesn't use it",2015-12-15 09:47:56,2014,NA,5201,FALSE,"Android"
"169","676763189174931456","Thank you for your support! #MakeAmericaGreatAgain #Trump2016
https://t.co/yohiKUsL3V",2015-12-15 08:58:12,1039,NA,3165,FALSE,"iPhone"
"170","676629461052166144","What an evening in Las Vegas, Nevada! THANK YOU for your continued support. #Trump2016 https://t.co/uUwRk7RuGK https://t.co/J0qJaIg35u",2015-12-15 00:06:49,1824,NA,5212,FALSE,"iPhone"
"171","676580376249110532","@oreillyfactor, horrible defense of me against highly overrated @krauthammer. I will bring more people into the party &amp; easily beat Hillary!",2015-12-14 20:51:46,935,"23970102",2127,FALSE,"iPhone"
"174","676557511458226177","Thank you @hardball_chris for your nice words. They are very much appreciated. I fully understand that you really get it.",2015-12-14 19:20:55,985,NA,2964,FALSE,"iPhone"
"175","676546220425375744","#MakeAmericaGreatAgain #Trump2016
https://t.co/yjAIiFuVWm https://t.co/dfH0ABwZk0",2015-12-14 18:36:03,1056,NA,3251,FALSE,"iPhone"
"176","676540954325708800","Can't believe Major League Baseball just rejected @PeteRose_14 for the Hall of Fame. He's paid the price. So ridiculous - let him in!",2015-12-14 18:15:07,5567,NA,10315,FALSE,"iPhone"
"177","676528489105879042",".@scottienhughes - you were fantastic on CNN. Thank you for the nice words. See you at the #GOPDebate.",2015-12-14 17:25:35,833,NA,2530,FALSE,"iPhone"
"178","676513450080739328",".@PatrickBuchanan was great on @TeamCavuto @FoxNews. Thank you Pat! #Tump2016",2015-12-14 16:25:50,940,NA,2630,FALSE,"iPhone"
"180","676509769562251264","Another great accolade for @TrumpGolf. Highly respected Golf Odyssey- awarded @TrumpDoral Blue Monster with best redesign. Thank you!",2015-12-14 16:11:12,710,NA,2276,FALSE,"iPhone"
"181","676494179216805888","Record of Health: https://t.co/ZDDDawwYVl
#MakeAmericaGreatAgain #Trump2016",2015-12-14 15:09:15,941,NA,2553,FALSE,"iPhone"
"183","676426648355512320","EXCLUSIVE: Newt Gingrich: 'The Country Is in Rebellion,' Trump Can 'Kick Down the Doors' 
https://t.co/UwTKKhhO3C",2015-12-14 10:40:55,2077,NA,4411,FALSE,"iPhone"
"185","676198180757852160","People have got to stop working to be so politically correct and focus all of their energy on finding solutions to very complex problems!",2015-12-13 19:33:04,7095,NA,15849,FALSE,"Android"
"186","676167468780412929","I was disappointed that Ted Cruz would speak behind my back, get caught, and then deny it. Well, welcome to the wonderful world of politics!",2015-12-13 17:31:01,2521,NA,6775,FALSE,"Android"
"189","676093580365156352","A very good NBC/Wall Street Journal Poll was just released wherein I went up from last month and am in the lead. Nice!",2015-12-13 12:37:25,1669,NA,4761,FALSE,"Android"
"192","676028565494874113","Chris Wallace @fox at 10:00 A.M.",2015-12-13 08:19:04,579,NA,1566,FALSE,"Android"
"193","676024767141515264","#MakeAmericaGreatAgain #Trump2016
https://t.co/UB7Fx7A835 https://t.co/iWcW5kfI9i",2015-12-13 08:03:59,2476,NA,5855,FALSE,"iPhone"
"194","676020786705137664",".@CNN @jaketapper at 9:00 A.M.",2015-12-13 07:48:10,532,NA,1577,FALSE,"Android"
"197","675910224855855104","Something must be done with dopey @KarlRove - he is pushing Republicans down the same old path of defeat. Don't fall for it, Karl is a loser",2015-12-13 00:28:50,2528,NA,6031,FALSE,"Android"
"198","675902321482727424","I will be interviewed on @jaketapper @CNN at 9:00 A.M. and Fox News Sunday with Chris Wallace at 10:O0  A.M. CNN Iowa Poll -13 point lead!",2015-12-12 23:57:25,1034,NA,2669,FALSE,"Android"
"199","675827465353306112","I will be on CNN's - State of the Union tomorrow morning at 9amE. https://t.co/VgxjEVFGJK https://t.co/svQQhAHBow",2015-12-12 18:59:58,1367,NA,3566,FALSE,"iPhone"
"202","675757322807975936","A great afternoon. Thank you South Carolina! #MakeAmericaGreatAgain #Trump2016 https://t.co/iOnhK3l3xU https://t.co/EtpzrfChMZ",2015-12-12 14:21:15,1943,NA,4575,FALSE,"iPhone"
"203","675756151322058753","Reports say #ISIS now has a passport machine to have its believers infiltrate our country. I told you so. https://t.co/LRPDW10zwl",2015-12-12 14:16:36,3812,NA,5726,FALSE,"iPhone"
"207","675690073061392384","Thank you! #Trump2016
https://t.co/0DA5isXMRz https://t.co/ENjJkTEQIJ",2015-12-12 09:54:01,2977,NA,5794,FALSE,"iPhone"
"209","675643039780589568",".@loudobbsnews did a fantastic interview with syndicated columnist Michelle Malkin. Congrats to both!",2015-12-12 06:47:08,866,NA,2663,FALSE,"Android"
"212","675527424604569601",".@MonicaCrowley you were great with @SeanHannity on @FoxNews tonight.  Thank you for your kind words. We will keep Americans safe.",2015-12-11 23:07:43,1223,NA,3700,FALSE,"iPhone"
"213","675523728055410689","Dopey Prince @Alwaleed_Talal wants to control our U.S. politicians with daddy's money. Can't do it when I get elected. #Trump2016",2015-12-11 22:53:02,12003,NA,14287,FALSE,"iPhone"
"214","675517162115743744","Thank you @SeanHannity &amp; @BoDiet! #MakeAmericaGreatAgain",2015-12-11 22:26:56,828,NA,3114,FALSE,"iPhone"
"215","675462574922702848","Thank you! We are at 35% in new Reuters poll with #2 coming in at 12%. Time to #MakeAmericaGreatAgain!#Trump2016 https://t.co/0l00OVCo5b",2015-12-11 18:50:02,2103,NA,5012,FALSE,"iPhone"
"217","675432232492916736","Tom Ridge is a failed 'Bushy' &amp; PA Governor. Him &amp; his friend @KarlRove shouldn't be allowed to do their bias commentary- nobody listens!",2015-12-11 16:49:27,1374,NA,3813,FALSE,"iPhone"
"219","675418949547384832","Never get good #'s from failing Des Moines Register/Bloomberg. I think something's going on w/them. Up 13 in IA according to respected CNN.",2015-12-11 15:56:40,976,NA,2808,FALSE,"iPhone"
"220","675417305862569985","Great news in Georgia!  The just out  Landmark poll shows me in first with 43%! Wow. https://t.co/mG6uZQxBWG https://t.co/UZ03GJDvOV",2015-12-11 15:50:09,3238,NA,6240,FALSE,"iPhone"
"222","675298842200440832",".@Morning_Joe just went off the rails. I will beat Hillary easily - she does not want to run against me. I am tuning them out, waste of time",2015-12-11 07:59:25,1771,NA,4930,FALSE,"Android"
"223","675297372642148352",".@tedcruz should not make statements behind closed doors to his bosses, he should bring them out into the open - more fun that way!",2015-12-11 07:53:34,1817,NA,4652,FALSE,"Android"
"224","675296416529534976","Looks like @tedcruz is getting ready to attack. I am leading by so much he must. I hope so, he will fall like all others. Will be easy!",2015-12-11 07:49:46,2230,NA,5981,FALSE,"Android"
"227","675174167591985152",".@BernardGoldberg was not good tonight on @oreillyfactor. He just doesn't know about winning! But he is a nice guy.",2015-12-10 23:44:00,991,NA,3212,FALSE,"Android"
"228","675125408803774464","Respected Morning Consult poll just out. I lead all Republicans and beat Hillary head to head by a wide margin- 45 to 40!",2015-12-10 20:30:15,2568,NA,6348,FALSE,"iPhone"
"235","674934005725331456","The United Kingdom is trying hard to disguise their massive  Muslim problem. Everybody is wise to what is happening, very sad! Be honest.",2015-12-10 07:49:41,6028,NA,9936,FALSE,"Android"
